year,hurcfat,floodfat,combind,combind2,,,,,,,,,
1940,51,60,111,,,,,,,,,,
1941,10,47,57,,,,,,,,,,
1942,8,68,76,,,,,,,,,,
1943,16,107,123,,,,,,,,,,
1944,64,33,97,,,,,,,,,,
1945,7,91,98,,,,,,,,,,
1946,0,28,28,,,,,,,,,,
1947,53,55,108,,,,,,,,,,
1948,3,82,85,,,,,,,,,,
1949,4,48,52,,,,,,,,,,
1950,19,93,112,,,,,,,,,,
1951,0,51,51,,,,,,,,,,
1952,3,54,57,,,,,,,,,,
1953,2,40,42,,,,,,,,,,
1954,193,55,248,,,,,,,,,,
1955,218,302,520,,,,,,,,,,
1956,21,42,63,,,,,,,,,,
1957,395,82,477,,,,,,,,,,
1958,2,47,49,,,,,,,,,,
1959,24,25,49,,,,,,,,,,
1960,65,169,234,,,,,,,,,,
1961,46,93,139,,,,,,,,,,
1962,4,53,57,,,,,,,,,,
1963,11,41,52,,,,,,,,,,
1964,49,142,191,,,,,,,,,,
1965,75,188,263,,,,,,,,,,
1966,54,56,110,,,,,,,,,,
1967,18,53,71,,,,,,,,,,
1968,9,57,66,,,,,,,,,,
1969,256,445,701,,,,,,,,,,
1970,11,131,142,,,,,,,,,,
1971,8,68,76,,,,,,,,,,
1972,121,555,676,,,,,,,,,,
1973,5,178,183,,,,,,,,,,
1974,1,111,112,,,,,,,,,,
1975,4,127,131,,,,,,,,,,
1976,9,193,202,,,,,,,,,,
1977,0,210,210,,,,,,,,,,
1978,36,125,161,,,,,,,,,,
1979,22,121,143,,,,,,,,,,
1980,4,82,86,,,,,,,,,,
1981,0,84,84,,,,,,,,,,
1982,0,155,155,,,,,,,,,,
1983,22,204,226,,,,,,,,,,
1984,4,126,130,,,,,,,,,,
1985,30,166,196,,,,,,,,,,
1986,11,94,105,,,,,,,,,,
1987,0,70,70,,,,,,,,,,
1988,9,31,40,,,,,,,,,,
1989,38,85,123,,,,,,,,,,
1990,0,142,142,,,,,,,,,,
1991,19,61,80,,,,,,,,,,
1992,27,62,89,,,,,,,,,,
1993,2,103,105,,,,,,,,,,
1994,9,91,100,,,,,,,,,,
1995,17,80,97,84,181,,,,,,,,
1996,37,131,168,54,222,,,,,,,,
1997,1,118,119,75,194,,,,,,,,
1998,9,136,145,65,210,,,,,,,,
1999,19,68,87,62,149,,,,,,,,
2000,0,38,38,51,89,,,,,,,,
2001,24,48,72,31,103,,,,,,,,
2002,51,49,100,45,145,,,,,,,,
2003,14,86,100,43,143,,,,,,,,
2004,34,82,116,42,158,,,,,,,,
2005,1016,43,1059,23,1082,,,,,,,,
2006,0,76,76,40,116,,,,,,,,
2007,1,87,88,34,122,,,,,,,,
2008,12,82,94,70,164,,,,,,,,
2009,2,56,58,47,105,,,,,,,,
2010,0,103,103,33,136,,,,,,,,
2011,9,113,122,76,198,,,,,,,,
2012,4,29,33,104,137,,,,,,,,
2013,1,82,83,36,119,,,,,,,,
2014,0,40,40,55,95,,,,,,,,
2015,14,187,201,68,269,,,,,,,,
2016,11,126,137,46,183,,,,,,,,
2017,7,136,143,50,193,,,,,,,,
2018,7,80,87,58,145,,,,,,,,
2019,0,92,92,51,143,,,,,,,,
2020,24,57,81,55,136,,,,,,,,